,Close,Close_Prev,Close_Diff,Open,Open_Prev,Open_Diff,High,High_Prev,High_Diff,Low,Low_Prev,Low_Diff
634086,8.884269714355469,8.778715,-1.18810644073444,10.699999809265137,8.638591,-19.265504984374445,10.770000457763672,8.778715,-18.4891851389035,10.510000228881836,8.638591,-17.805988348658968
634336,8.98298454284668,8.8447075,-1.5393219611306181,10.890000343322754,8.778715,-19.387375051372743,10.890000343322754,8.8447075,-18.78138466325358,10.68000030517578,8.778715,-17.802295104686277
634822,8.884269714355469,8.892894,0.09707130828464919,10.8100004196167,8.8447075,-18.180322426599062,11.079999923706056,8.892894,-19.73922515854837,10.800000190734863,8.8447075,-18.10456173323593
634988,9.007661819458008,8.884409,-1.3683114566545738,10.989999771118164,8.892894,-19.08194743944081,10.989999771118164,8.892894,-19.08194743944081,10.710000038146973,8.884409,-17.045668355171824
635180,8.9912109375,8.899232,-1.0229881985174323,10.8100004196167,8.884409,-17.813056374324475,10.970000267028809,8.899232,-18.876648185206506,10.699999809265137,8.884409,-16.96813916657598
635478,9.032340049743652,8.909815,-1.3565168547037063,10.949999809265137,8.899232,-18.728474285673975,11.029999732971191,8.909815,-19.221985038120604,10.90999984741211,8.899232,-18.430503802284694
635902,9.05702018737793,8.929912,-1.403425975473872,10.949999809265137,8.909815,-18.631826577240172,11.050000190734863,8.929912,-19.186321635072428,10.899999618530272,8.909815,-18.258576638408144
636171,9.081698417663574,8.955554,-1.3889957954818364,11.039999961853027,8.929912,-19.113119163765834,11.09000015258789,8.955554,-19.246583541353004,11.0,8.929912,-18.818985332142223
636606,9.073472023010254,8.984164,-0.9842735482921625,11.020000457763672,8.955554,-18.733633062831384,11.09000015258789,8.984164,-18.988601313232735,10.9399995803833,8.955554,-18.139356928840815
636739,8.97475814819336,9.003397,0.319104306197318,11.09000015258789,8.984164,-18.988601313232735,11.09000015258789,9.003397,-18.815177060082686,10.960000038146973,8.984164,-18.027698843922234
637200,9.139280319213867,8.983535,-1.7041331576096992,11.0600004196167,9.003397,-18.59496703141115,11.09000015258789,9.003397,-18.815177060082686,10.850000381469728,8.983535,-17.202447031524002
637484,9.024115562438965,9.012323,-0.13067411250190356,10.90999984741211,8.983535,-17.657791580463016,11.199999809265137,9.012323,-19.532825598253957,10.880000114440918,8.983535,-17.43074707321475
637750,9.163960456848145,9.009931,-1.6808218118870333,11.130000114440918,9.012323,-19.02674495193113,11.199999809265137,9.012323,-19.532825598253957,10.9399995803833,9.009931,-17.642313014229014
637851,9.163960456848145,9.0455675,-1.291940803252414,11.010000228881836,9.009931,-18.16593620932397,11.270000457763672,9.0455675,-19.73764733717556,10.90999984741211,9.009931,-17.415850259668648
638354,9.139280319213867,9.081226,-0.635213805783645,11.100000381469728,9.0455675,-18.50840358877085,11.25,9.081226,-19.27798800998264,11.06999969482422,9.0455675,-18.287554093235766
638571,9.089924812316896,9.098395,0.0931859773673916,11.140000343322754,9.081226,-18.48091499996961,11.1899995803833,9.098395,-18.691727535493264,11.010000228881836,9.081226,-17.518381833864566
638901,9.361388206481934,9.0889435,-2.9103026071280453,11.109999656677246,9.098395,-18.106249966200785,11.1899995803833,9.098395,-18.691727535493264,10.90999984741211,9.0889435,-16.69162595266908
639000,9.353161811828612,9.161348,-2.0507874533991703,11.0600004196167,9.0889435,-17.821490627390922,11.380000114440918,9.161348,-19.496061065324593,11.010000228881836,9.0889435,-17.44828980472804
639262,9.270901679992676,9.23097,-0.430716436012054,11.420000076293944,9.161348,-19.77803606225037,11.470000267028809,9.23097,-19.520748319201022,11.199999809265137,9.161348,-18.202245545425512
639793,9.305992126464844,9.251301,-0.5876999889322037,11.369999885559082,9.23097,-18.81292457694227,11.390000343322754,9.251301,-18.77699268735283,11.15999984741211,9.23097,-17.285210493699086
640106,9.372109413146973,9.26099,-1.1856377836224528,11.25,9.251301,-17.766215006510418,11.279999732971191,9.26099,-17.899021612982892,11.079999923706056,9.251301,-16.504504734029023
640143,9.26466941833496,9.283945,0.2080556187472592,11.289999961853027,9.26099,-17.971743364804585,11.34000015258789,9.283945,-18.13099683689613,11.170000076293944,9.26099,-17.09050958310344
640500,9.049787521362305,9.267908,2.410228686986202,11.34000015258789,9.283945,-18.13099683689613,11.399999618530272,9.283945,-18.561882506316408,11.15999984741211,9.267908,-16.954227392192927
640979,9.099374771118164,9.176825,0.8511551676035326,11.210000038146973,9.267908,-17.32463813759742,11.210000038146973,9.267908,-17.32463813759742,10.850000381469728,9.176825,-15.420974681485989
641173,9.099374771118164,9.109111,0.10699703376427702,11.079999923706056,9.176825,-17.17667298834539,11.09000015258789,9.176825,-17.251357588478445,10.949999809265137,9.109111,-16.811771772755172
641553,9.24813747406006,9.070149,-1.9245826834581714,11.010000228881836,9.109111,-17.26511677702783,11.140000343322754,9.109111,-18.230605462464826,10.9399995803833,9.070149,-17.091866822776357
641725,9.256403923034668,9.101791,-1.6703305353170186,11.050000190734863,9.070149,-17.917201220530494,11.220000267028809,9.101791,-18.87886662015025,11.050000190734863,9.070149,-17.917201220530494
642043,9.24813747406006,9.148636,-1.0759097178360313,11.220000267028809,9.101791,-18.87886662015025,11.260000228881836,9.148636,-18.751015290464967,11.140000343322754,9.101791,-18.296309682867346
